연도,노선,동물종류,건수
2004,논산천안선/호남선,너구리,2
2004,논산천안선/호남선,멧토끼,1
2004,영동선,고라니,1
2004,광주대구선,너구리,1
2004,서해안선,너구리,2
2004,중앙선,너구리,1
2004,동해선,고라니,1
2004,서해안선,고라니,1
2004,통영대전선/중부선,너구리,1
2004,통영대전선/중부선,멧토끼,1
2004,중앙선,고라니,1
2004,서해안선,너구리,1
2004,중앙선,고라니,1
2004,광주대구선,고라니,1
2004,서해안선,고라니,2
2004,서해안선,너구리,1
2004,영동선,고라니,1
2004,광주대구선,고라니,1
2004,서해안선,노루,1
2004,서해안선,멧토끼,1
2004,논산천안선/호남선,고라니,1
2004,영동선,너구리,1
2004,서해안선,고라니,2
2004,서해안선,너구리,1
2004,서해안선,족제비,1
2004,논산천안선/호남선,너구리,1
2004,중부내륙선,너구리,1
2004,광주대구선,족제비,1
2004,서해안선,고라니,1
2004,영동선,고라니,1
2004,중앙선,고라니,1
2004,중앙선,너구리,1
2004,경부선,너구리,1
2004,경부선,멧토끼,1
2004,서해안선,고라니,2
2004,광주대구선,너구리,1
2004,서해안선,너구리,1
2004,논산천안선/호남선,고라니,1
2004,동해선,고라니,1
2004,광주대구선,너구리,1
2004,논산천안선/호남선,너구리,1
2004,광주대구선,너구리,1
2004,중부내륙선,고라니,1
2004,동해선,고라니,1
2004,동해선,너구리,1
2004,서해안선,너구리,2
2004,서해안선,멧토끼,1
2004,논산천안선/호남선,고라니,1
2004,서해안선,고라니,1
2004,동해선,너구리,1
2004,서해안선,너구리,1
2004,광주대구선,너구리,1
2004,논산천안선/호남선,너구리,1
2004,경부선,고라니,1
2004,광주대구선,고라니,2
2004,서해안선,너구리,1
2004,논산천안선/호남선,오소리,1
2004,광주대구선,너구리,1
2004,영동선,고라니,1
2004,영동선,고라니,1
2004,동해선,멧토끼,1
2004,광주대구선,너구리,1
2004,서해안선,고라니,1
2004,광주대구선,너구리,1
2004,통영대전선/중부선,멧토끼,1
2004,영동선,멧토끼,1
2004,논산천안선/호남선,너구리,1
2004,통영대전선/중부선,멧토끼,1
2004,중앙선,고라니,1
2004,중앙선,멧토끼,1
2004,남해선(순천부산),너구리,1
2004,서해안선,고라니,1
2004,논산천안선/호남선,너구리,1
2004,논산천안선/호남선,멧토끼,1
2004,중부내륙선,고라니,1
2004,영동선,멧토끼,1
2004,서해안선,멧토끼,1
2004,서해안선,족제비,1
2004,논산천안선/호남선,고라니,1
2004,통영대전선/중부선,너구리,1
2004,중부내륙선,너구리,1
2004,중앙선,너구리,1
2004,서해안선,너구리,1
2004,통영대전선/중부선,너구리,1
2004,광주대구선,멧토끼,1
2004,서해안선,너구리,1
2004,통영대전선/중부선,고라니,1
2004,통영대전선/중부선,멧토끼,1
2004,서해안선,너구리,1
2004,논산천안선/호남선,너구리,1
2004,통영대전선/중부선,고라니,1
2004,중앙선,너구리,1
2004,서해안선,노루,1
2004,서해안선,멧토끼,1
2004,논산천안선/호남선,너구리,1
